Name	Unique?	 Length	Minimized1 Length	Unrolled length	Lossless?	Mirrored in Patterns?	Inverted in Patterns?	Flipped in Patterns?
Feather_and_Fan_-reversible	True	8	8	8	True	False	False	False
Feather_and_Fan_12_stitch_repeat	True	25	25	25	True	False	False	False
Feather_and_Fan_2	True	9	38	9	True	False	False	False
Feather_and_Fan_3	True	61	206	50	True	False	False	False
Feather_and_Fan_4	True	9	9	9	True	False	False	False
Feather_and_Fan_5	True	8	8	8	True	False	False	False
Feather_and_Fan_6	True	44	44	8	True	True	False	False
Feather_and_Fan_7	True	12	12	12	True	False	False	False
Feather_and_Fan_8	True	28	112	28	True	False	False	False
Feather_and_Fan_Border	True	114	294	118	True	False	False	False
Feather_and_fan_CDD	True	12	12	12	True	False	False	False
feather_and_fan_flap	True	59	119	39	True	False	False	False
feather_and_fan_from_nomad	True	10	38	6	True	False	False	False
Feather_and_fan_II	True	7	7	7	True	False	False	False
Feather_and_fan_increase	True	94	420	68	True	False	False	False
Feather_and_fan_increase_repeatable	True	94	94	94	True	False	False	False
Feather_and_fan_in_round	True	10	24	10	True	True	False	False
Feather_and_Fan_Lap_Blanket	True	14	36	14	True	False	False	False
Feather_and_fan_modified	True	15	17	15	True	False	False	False
Feather_and_fan_mp	True	18	78	11	True	False	False	False
Feather_and_fan_test	True	6	6	6	True	False	False	False
Feather_and_fan_throw	False	11	23	11	True	False	False	False
Feather_and_fan_twist	True	8	8	8	True	False	False	False
Feather_and_Fan_variant	True	10	10	10	True	False	False	False
Feather_and_Fan_Variation	True	13	13	13	True	False	False	False
Feather_and_Fan_Variation_2	True	5	14	5	True	True	False	False
Feather_and_Fan_Variation_3	True	10	10	10	True	False	False	False
Feather_and_Fan_with_Closed_Increases	False	10	14	10	True	False	False	False
Feather_Edging	True	10	10	10	True	False	False	False
Feather_faggoting	False	6	6	6	True	False	False	False
Feather_Fan	True	162	1291	244	True	False	False	False
feather_knitted_shawl	True	107	273	111	True	False	False	False
Feather_Lace	False	35	35	33	True	False	False	False
Feather_Lace_(PT_2)	True	53	53	51	True	False	False	False
Feather_Lace_2	True	83	83	83	True	False	False	False
Feather_Lace_3	True	23	23	23	True	False	False	False
Feather_Lace_a_k_a__Willow_or_Estonian_Leaves	True	93	94	93	True	False	False	False
Feather_Lace_Stitch_(modified)	True	31	33	31	True	False	False	False
Feather_Lace_Triangle_test	True	167	174	159	True	False	False	False
Feather_Pattern,_Second_Size_XLV	True	23	23	23	True	False	False	False
Feather_Pattern	True	165	234	127	True	False	False	False
Feather_Pattern_XLIV	True	26	26	10	True	False	False	False
Feather_Rib_Pattern	True	10	12	10	True	False	False	False
Feather_stitch	True	9	9	9	True	False	False	False
Feather_stitch_2	True	149	170	147	True	False	False	False
Feather_triangles	True	70	138	32	True	True	False	False
Feather_wave	True	130	146	90	True	False	False	False
Feather_wave_(copy)	True	96	96	53	True	False	False	False
FEB_22	True	132	330	82	True	False	False	False
Felicia	True	145	213	130	True	False	False	False
Fenceposts	True	4	4	4	True	False	False	True
fences	True	22	120	27	True	False	False	False
Fenstervariante_BS-II-095-1	True	66	88	58	True	False	False	False
Fenstervariante_BS-II-095-2-2	True	114	417	114	True	False	False	False
Fenstervariante_BS-II-095-2	True	42	78	42	True	False	False	False
Feodora	True	16	105	15	True	False	False	False
fern-ish	True	21	31	21	True	False	False	False
Fern	True	62	62	62	True	True	False	True
fern1	True	32	182	24	True	False	False	False
fern1_2	True	72	96	72	True	True	False	False
fern1_3	True	60	96	56	True	False	False	False
Ferns	True	61	61	61	True	False	False	False
Fern_2	True	47	47	47	True	False	False	False
Fern_3	True	70	163	64	True	False	False	False
Fern_4	True	60	60	60	True	False	False	False
Fern_5	True	7	52	7	True	False	False	True
Fern_Block_9	True	34	39	34	True	False	False	False
Fern_Diamonds	True	81	93	81	True	False	False	False
Fern_Grotto_Lace	True	58	58	58	True	False	False	False
Fern_increase_#_2	True	4	4	4	True	False	False	False
Fern_Insertion	True	121	185	59	True	True	False	False
Fern_Lace	True	71	75	71	True	False	False	False
Fern_Lace_2	False	19	23	19	True	False	False	False
Fern_Lace_alternative	True	61	61	61	True	True	False	False
Fern_Lace_Alternative_2	True	53	53	53	True	True	False	False
Fern_Lace_Stitch	False	19	23	19	True	False	False	False
Fern_Leaf_(full)	True	54	56	54	True	False	False	False
Fern_Leaf_(half)	True	31	33	31	True	False	False	False
Fern_Panel	True	47	97	43	True	False	False	False
fern_pattern	True	73	73	73	True	False	False	False
Fern_Scarf	True	43	43	43	True	False	False	False
Ferro	True	39	49	39	True	False	False	False
Ferse	True	42	379	42	True	False	False	True
Fersenentwurf_2	True	43	467	43	True	False	False	True
Fersenlasche_Heel_tab	True	90	339	90	True	False	False	True
Fersenlasche_Heel_tab_2	True	80	281	80	True	False	False	True
Fersenrundung_	True	41	524	41	True	False	False	True
Ferse_2	True	62	204	62	True	False	False	False
Ferse_3	True	62	432	60	True	False	False	False
Ferse_4	True	112	624	110	True	True	False	False
Ferse_5	True	70	324	68	True	False	False	False
Ferse_6	True	67	423	67	True	False	False	False
Ferse_Teil_1_verk	True	68	517	68	True	False	False	False
Ferse_Teil_2_Fersenwand	True	44	297	43	True	False	False	False
Ferse_Teil_2_Maschen_abnehmen	True	18	170	17	True	False	False	False
Ferse_Teil_2_Maschen_abnehmen_2	True	25	222	25	True	False	False	False
Ferse_Teil_2_Maschen_abnehmen_3	True	25	177	25	True	False	False	False
Ferse_Teil_2_Maschen_abnehmen_V3	True	14	169	13	True	False	False	False
Fetzenmustervariante	True	28	28	28	True	False	False	False
Fetzenmustervariante_(Reihen)	True	40	44	40	True	False	False	False
Fetzenmustervariante_III_(Reihen)	True	36	52	36	True	False	False	False
Fetzenmustervariante_III_(Reihen)_(copy)	True	132	150	130	True	False	False	False
Fetzenmustervariante_III_(Reihen)_2	True	132	150	130	True	False	False	False
Fetzenmustervariante_II_(Reihen)	True	40	48	40	True	False	False	False
Fetzenmustervariante_IV_(Reihen)	True	40	56	40	True	False	False	False
FF	True	28	112	28	True	False	False	False
ff_test	True	9	9	9	True	False	False	False
ff_var	True	16	43	12	True	False	False	False
Fibonacci_Swirl_Hat	True	104	104	104	True	False	False	False
Fibonacci_Swirl_Hat_(11_st_version)	True	80	80	80	True	False	False	False
fibre	True	183	226	183	True	False	False	False
Fichu_diamonds	True	93	120	93	True	False	False	False
Fiddle	True	48	48	48	True	False	False	True
Fiddling_with_chevrons	True	43	97	43	True	False	False	False
Field_of_Daisies	True	37	86	37	True	False	False	False
Field_of_Flowers_Shetland	True	40	155	45	True	False	False	False
Fifteen-stitch_Old_Shale	True	17	17	17	True	False	False	False
Figure_18_Doily	True	269	1167	268	True	False	False	False
Figure_8	True	29	29	29	True	False	False	False
Filigree	True	72	72	58	True	False	False	False
Filigree_Pattern	True	125	128	125	True	False	False	False
Filler_Lace_Braid	True	23	35	23	True	False	False	False
Filme_fern	True	64	134	60	True	False	False	False
filmy_fern	True	277	474	193	True	False	False	False
Filtade_tofflor_2	True	79	327	79	True	False	False	False
Fingerless_Gloves	True	18	45	2	True	False	False	True
fingerless_L_mitt_cable	True	31	61	31	True	False	False	False
fingerslip_ribbon_-_2_color	True	61	167	61	True	False	False	False
Finnish_childs_cardigan	True	303	2400	259	True	False	False	False
Fireflies	True	32	32	32	True	False	False	False
Fireworks_1	True	40	40	40	True	False	False	False
Fireworks_2	True	37	37	37	True	False	False	False
fire_flowers	True	14	20	10	True	False	False	True
Fire_Thief_Center	True	291	291	291	True	False	False	False
Fire_Thief_Expansion	True	411	411	411	True	False	False	False
Firmaments_Lace_Shawl_A	True	67	67	67	True	False	False	False
Firmaments_Lace_Shawl_B	False	41	41	41	True	False	False	False
First_stitch_map_pattern	True	33	33	31	True	False	False	False
First_test	True	67	110	54	True	False	False	True
First_try	True	16	44	18	True	True	False	True
Fir_Cone	True	21	25	21	True	False	False	False
Fir_Cone_original	True	21	25	21	True	False	False	False
Fir_Cone_with_emphasis_on_decreases	True	21	25	21	True	False	False	False
Fisch-Fisch	True	50	58	50	True	False	False	False
Fischgr	True	57	75	57	True	False	False	False
Fischgr_2	True	30	36	30	True	False	False	False
Fischschuppen	True	70	70	70	True	False	False	False
Fischschuppensocken_21	False	180	180	180	True	False	False	False
Fischschuppen_mit_B	False	180	180	180	True	False	False	False
Fishbone_Pattern	True	5	21	5	True	True	False	False
fisherman	True	12	108	12	True	False	False	False
Fishtail,_v2	True	58	62	58	True	False	False	False
Fishtail	True	29	33	29	True	False	False	False
Fishtail_Lace	True	30	36	30	True	False	False	False
fishtail_stitch_I	True	28	29	28	True	False	False	False
Fishtail_stitch_II	True	26	26	26	True	False	False	True
fish_(second_try)	True	70	188	69	True	False	False	False
Fish_fossil	True	304	512	169	True	False	False	False
Fish_Net_lace	True	13	13	5	True	False	False	False
Fish_scale	True	17	17	17	True	False	False	False
Fish_scale_(worked_both_sides)	True	23	23	23	True	False	False	False
Fish_scale_2	True	22	36	22	True	False	False	False
Fish_scale_3	True	17	25	17	True	False	False	False
Fish_Scale_Lace	True	44	272	80	True	True	False	False
Fish_Scale_Lace_(copy)	True	44	136	44	True	True	False	False
Fish_Tail_Lace	True	30	36	30	True	False	False	False
Five-Fold_Moebius_Hat_or_Bowl	True	30	228	24	True	False	False	True
Five_pointed_leaf	True	111	179	71	True	False	False	False
Five_stitch_cable_with_two-step_crossings	True	12	20	11	True	False	False	False
Fizzy	True	27	27	27	True	False	False	False
Fjord	True	111	217	111	True	False	False	False
Fl	False	13	15	13	True	True	False	False
Flag	True	28	28	28	True	False	False	True
Flagon_stitch	True	10	10	10	True	False	False	False
Flags	True	132	132	132	True	False	False	False
Flag_2	True	16	16	16	True	False	False	True
Flamenco	True	12	12	12	True	False	False	False
Flames	True	21	25	21	True	False	False	False
Flames_2	True	390	436	390	True	False	False	False
Flame_Cheveron	True	57	69	57	True	False	False	False
Flame_Chevron	True	69	93	69	True	False	False	False
Flame_Chevron_(copy)	True	69	93	69	True	False	False	False
Flame_Chevron_-_mod_doodle	True	57	57	57	True	False	False	False
Flame_Chevron_test	True	69	93	69	True	False	False	False
Flame_Ribbing	True	195	195	195	True	False	False	False
Flammes_zigzag	True	30	96	30	True	False	False	False
Flap	True	10	25	10	True	False	False	False
flat_brioche_(k1b_method)	True	4	4	4	True	False	False	False
flat_brioche_(sl1yo_method)	True	4	4	4	True	False	False	False
flat_leaf	True	128	198	133	True	False	False	False
flat_leaf_2	True	128	198	133	True	False	False	False
Flat_Pat	True	17	17	17	True	False	False	True
Flat_ribs	True	12	16	12	True	False	False	False
Flat_ribs_2	True	10	10	10	True	False	False	True
Flax_&amp;_Twine_-_Lace_Pattern_5	False	35	35	33	True	False	False	False
Flechtmuster_(Basket_weave)	True	5	5	5	True	False	False	True
Flechtmuster_(Basket_weave)_2	True	5	5	5	True	False	False	True
Fleece	True	246	343	246	True	False	False	False
Flemish_Block	True	67	182	75	True	False	False	False
Flemish_block_Blanket	True	157	240	155	True	False	False	False
Fletning	True	6	34	6	True	False	False	True
Fletning_2	True	6	34	6	True	False	False	True
Fleurette,_v2	True	76	88	76	True	False	False	False
Fleurette-01	True	44	58	44	True	False	False	False
Fleurette	True	43	48	43	True	False	False	False
Fleurette_2	True	40	42	40	True	False	False	False
Fleurette_modification	True	39	39	39	True	False	False	False
Flickering_Flames	True	21	25	21	True	False	False	False
Flie	True	73	73	73	True	False	False	False
Flie_2	True	59	59	59	True	False	False	False
flip_doll_head	True	31	36	31	True	False	False	False
flip_doll_head_(copy)	True	23	23	23	True	False	False	False
Flitwick	True	94	163	94	True	False	False	False
Flora	True	32	32	32	True	True	False	True
floral_lace_scarf	True	6	6	6	True	False	False	False
Floral_mesh	True	63	73	63	True	False	False	False
Floral_motif_found_in_Verena_magazine_1193	True	487	914	471	True	False	False	False
Flora_2	True	95	241	93	True	True	False	False
Florence_Border	True	69	155	69	True	False	False	False
Florence_Lace	False	92	137	87	True	False	False	False
Florence_Lace_Edging	True	75	162	67	True	False	False	False
Florence_Rule_30	False	26	26	26	True	False	False	False
Florentine_Edging	True	20	44	18	True	False	False	False
Flor_oito_pontas	True	122	312	113	True	False	False	False
flow	True	135	188	135	True	False	False	False
Flower	True	44	76	36	True	True	False	False
Flower2	True	101	216	101	True	False	False	False
flowers	True	156	156	156	True	False	False	False
flowers_(copy)	True	137	305	116	True	False	False	False
flowers_2	True	35	74	35	True	False	False	False
flowers_3	True	178	226	178	True	False	False	False
flowers_shawl	True	172	220	172	True	False	False	False
Flower_2	True	300	709	49	True	False	False	False
Flower_basket	True	56	64	56	True	False	False	False
Flower_Bed	True	29	29	29	True	False	False	False
Flower_box	True	64	84	64	True	False	False	False
Flower_diamond	True	1208	1569	987	True	False	False	False
Flower_Horseshoe	True	52	113	52	True	False	False	True
flower_lace_1	True	144	144	144	True	False	False	False
flower_lace_1_2	True	129	129	129	True	False	False	False
flower_lace_2	True	172	172	172	True	False	False	False
flower_lace_2_1	True	170	170	170	True	False	False	False
Flower_Meadows_r	True	180	180	180	True	False	False	False
Flower_Power	True	29	51	29	True	False	False	False
flower_tiles_1	True	17	17	17	True	False	False	False
flower_tiles_1_1	True	17	17	17	True	False	False	False
flower_tiles_2	True	35	35	35	True	False	False	False
flower_tiles_2_1	True	34	34	34	True	False	False	False
flower_variant	True	87	126	55	True	False	False	False
Flowing	True	27	49	27	True	True	False	False
Flowing_(reversed)	True	27	49	27	True	True	False	False
Flowing_Free	True	33	296	33	True	False	False	True
Flowing_Lace	True	69	69	69	True	False	False	False
Flowing_lace_2_0	True	75	75	75	True	False	False	False
Fluer_de_lis	True	236	236	236	True	False	False	False
Fluffy_Brioche	True	13	14	13	True	False	False	False
Flurries	True	31	31	31	True	False	False	False
Flushed_edge	True	27	68	25	True	False	False	False
Fluss	True	73	73	73	True	False	False	False
Fluss_2	True	73	73	73	True	False	False	False
Fluted_Fabric	True	10	10	10	True	False	False	False
Flutter_sleeve_(long)	True	503	759	501	True	False	False	False
Flying_Arrows_Socks_turn_heel	True	48	162	48	True	False	False	False
Flying_Birds	True	19	27	19	True	False	False	False
Flying_Doves	True	668	1346	474	True	False	False	False
Flying_Home_Scarf	True	120	316	104	True	True	False	False
Flying_Horseshoe	True	55	85	55	True	False	False	False
Flying_north	True	31	31	31	True	False	False	False
Flyway_1	True	39	39	39	True	False	False	False
Flyway_2	True	37	37	37	True	False	False	False
Fl_2	True	14	14	14	True	False	False	False
Fog	True	75	75	75	True	False	False	False
Foggy_day	True	20	23	20	True	False	False	False
Foliage_Lace	False	55	55	55	True	False	False	False
Foliage_Lace_2	False	55	55	55	True	False	False	False
Folio	True	164	195	164	True	False	False	False
Follies	True	66	66	66	True	False	False	False
ForBubbe	True	113	193	101	True	False	False	False
Forest_Floor	True	21	23	21	True	False	False	False
forest_park_cowl_-_CABLE_SET_ONE	True	27	27	27	True	False	False	False
forest_park_cowl_-_CABLE_SET_TWO	True	76	76	76	True	False	False	False
Forest_trail	True	22	28	22	True	False	False	False
Forever_Diamonds	True	37	92	37	True	False	False	False
Formal_garden	True	48	48	48	True	False	False	False
formerly_fishtail	True	73	73	73	True	False	False	False
Fortsetzung_Versuch_#1	True	88	124	50	True	False	False	False
For_a_Knitted_Collar	True	443	861	297	True	False	False	False
For_a_Knitted_Penwiper	True	82	234	78	True	False	False	False
For_a_Knitted_Penwiper_(brioche_symbols)	True	68	184	63	True	False	False	False
For_Granny	True	116	116	116	True	False	False	False
for_Sandy	True	394	650	318	True	False	False	False
Found_Pattern	True	33	37	33	True	False	False	False
Found_Pattern_2	True	61	71	61	True	False	False	False
Found_Pattern_3	True	125	147	125	True	False	False	False
Fountains	True	25	44	25	True	False	False	False
Fountain_Lace,_v2	True	93	113	93	True	False	False	False
Fountain_Lace	True	93	113	93	True	False	False	False
Four-Lobed_Escutcheon	True	206	725	206	True	False	False	False
Four_by_four	True	16	16	16	True	False	False	True
four_triangle_shawl	True	37	37	37	True	False	False	False
fox_face_test	True	79	215	61	True	True	False	True
Fox_or_Cat_Cable	True	49	77	41	True	False	False	False
FP	True	269	708	269	True	False	False	False
Fr	True	11	11	11	True	False	False	False
Fractured_Lattice	True	21	25	21	True	False	False	False
Fragmented_Elegance_Blanket	True	414	900	410	True	False	False	False
Fraises	True	83	99	81	True	False	False	False
Framed_Bud	True	74	128	74	True	False	False	False
Framed_Faggotting	True	65	148	65	True	False	False	False
Framed_Leaf_Lace	True	233	236	217	True	False	False	False
free_form_lace_cowl_-_test	True	500	1900	300	True	False	False	False
Freja,_in_the_round	True	245	245	245	True	False	False	False
Freja	True	250	469	245	True	False	False	False
French_Lace	True	74	162	66	True	False	False	False
French_Lace_2	True	282	425	232	True	False	False	False
French_Swirl	True	105	105	105	True	False	False	False
fresh	True	114	130	114	True	False	False	False
frida	True	44	134	46	True	False	False	False
Fried_chicken_mittens	True	42	380	34	True	False	False	True
Fried_chicken_mittens_(lifted_increase)	True	43	412	41	True	False	False	False
Fried_chicken_mittens_(make_1_edition)	True	50	412	50	True	False	False	False
Friends	True	39	47	39	True	False	False	False
Friendship	True	213	303	213	True	False	False	False
Fringe	True	12	12	12	True	False	False	False
FRINGED_EDGING	True	6	35	6	True	False	False	True
Fringe_2	True	13	13	13	True	False	False	False
Frisby_Edging	True	26	75	25	True	False	False	False
frischer-kaffee	True	30	61	30	True	False	False	True
frizz	True	61	117	58	True	False	False	False
from_February_lady	False	13	15	13	True	True	False	False
Frond	True	81	81	81	True	False	False	False
Front_necklinearmhole	True	55	190	55	True	False	False	False
front_panel_cable	True	13	31	13	True	True	False	False
Front_turn_sequence_for_conti-rag_crew	True	26	204	26	True	False	False	False
Front_turn_seq__for_conti-rag_crew_(2nd_iteration)	True	22	124	22	True	False	False	False
frost	True	139	139	139	True	False	False	False
Frosted_Flowers	True	149	149	149	True	False	False	False
FrostFlowers_with_garter_edging	True	149	181	149	True	False	False	False
Frost_Flowers	True	149	149	149	True	False	False	False
Frost_Flowers_2	True	149	149	149	True	False	False	False
Frost_Flowers_Barbara_Walker	True	148	148	148	True	False	False	False
Frost_Flowers_Circular	True	133	133	133	True	False	False	False
frost_flowers_narrowed_for_knitting_in_the_round	True	135	240	112	True	False	False	False
Frost_Flowers_rapport_chart_I	True	133	133	133	True	False	False	False
Frost_Flowers_reversible	True	61	102	61	True	False	False	False
Frost_Flowers_reversible_2	True	19	35	19	True	False	False	False
Frost_Flowers_setup_Chart_I	True	56	56	56	True	False	False	False
Frost_Flowers_setup_Chart_II	True	77	77	77	True	False	False	False
Frost_Flowers_Yoke_increase	True	880	880	880	True	False	False	False
Frost_Moon_Swatch	True	91	152	91	True	False	False	False
Frozen_1	True	118	147	97	True	False	False	False
FRS_Test	True	1375	1375	178	True	False	False	False
Fruitbat	True	187	232	187	True	False	False	False
Fr_2	True	13	13	13	True	False	False	True
fuchsia_bl	True	178	293	154	True	False	False	False
fuchsia_blomma	True	125	220	113	True	False	False	False
fuchsia_ekl	True	109	191	103	True	False	False	False
fuchsia_ekl_2	True	93	151	91	True	False	False	False
fuchsia_l	True	184	256	164	True	False	False	False
fuchsia_lamin	True	61	101	55	True	False	False	False
Fuchsia_Leaf_Lace_Edging	True	116	267	116	True	False	False	False
Fuchsia_Leaf_Lace_Edging_v__2	True	122	267	122	True	False	False	False
fuchsia_l_2	True	56	122	56	True	False	False	False
fuchsia_mitten	True	696	1070	588	True	False	False	False
fucker	True	932	2842	849	True	False	False	False
Fuck_2020	True	175	527	139	True	False	False	True
FUfu	True	491	2004	494	True	False	False	False
Full_LFTB	True	536	1786	386	True	True	False	False
Furrows	True	14	16	14	True	False	False	False
Fuzzy_Lamb_(ears)	True	12	14	10	True	False	False	False
Fu_Ca_-_Alpha_Base_6_Stacked_V2B_-_Mirrored	True	100	100	100	True	True	False	False
Fu_Ca_-_Alph_Base_6_Stacked_V2	True	48	48	48	True	False	False	False
Fu_Ca_-_Alph_Base_6_Stacked_V2B	True	48	48	48	True	False	False	False
Fu_Ca_-_Alph_Base_6_V1_-_Mir_H	True	95	95	95	True	False	False	False
Fu_Ca_-_Alph_Base_6_V1_-_Mir_Horz_and_Vert,_V2	True	173	173	173	True	True	False	False
Fu_Ca_-_Alph_Base_6_V1_-_Mir_H_and_V	True	173	173	173	True	True	False	False
F_2	True	65	86	65	True	False	False	False
F_3	True	62	86	62	True	False	False	False
F_an_F	True	118	118	118	True	False	False	False
Gail_(Nightsongs)_Flat_Repeat	True	250	289	250	True	False	False	False
Gail_(straight)	True	191	234	185	True	False	False	False
Galaxite_(allover_version)	True	436	727	436	True	False	False	False
Gallberry	True	47	47	47	True	False	False	False
galveston_chart_a	True	142	211	140	True	False	False	False
gansey,_version_1	True	60	60	60	True	False	False	False
gansey,_version_2	True	249	316	249	True	False	False	False
gardenia_sleeve	True	49	73	49	True	False	False	False
Gardens	True	223	223	223	True	False	False	False
garden_lattice	True	7	7	7	True	False	False	False
Garden_Path	True	22	28	22	True	False	False	False
Garland	True	36	44	36	True	False	False	False
Garland_Lace_Border	True	33	37	33	True	False	False	False
Garland_Pattern	True	34	34	34	True	False	False	False
Garland_Stitch	True	34	34	34	True	False	False	False
Gartenmuster	True	13	13	13	True	True	False	False
Gartenmuster_Variante_II	True	15	15	15	True	False	False	False
garter_and_lace_scarf	True	106	542	89	True	False	False	False
Garter_and_Rib_Check	True	20	20	20	True	False	False	False
Garter_chain	True	17	25	17	True	False	False	False
Garter_eyelet_corner	True	25	61	21	True	True	False	True
Garter_garland	True	24	40	24	True	False	False	False
Garter_lace_shawl	True	79	359	75	True	False	False	False
Garter_lace_shawl_2	True	110	248	102	True	False	False	False
Garter_lace_stitch	True	6	6	6	True	False	False	False
Garter_rib_alternative	True	10	12	10	True	False	False	False
Garter_Ridges	True	3	24	3	True	True	False	True
Garter_Ridge_Twist	True	11	11	11	True	False	False	False
Garter_Ripple	True	12	134	12	True	False	False	False
Garter_Short_Rows	True	9	622	9	True	False	False	True
Garter_short_row_leaves	True	85	621	82	True	False	False	True
Garter_Staghorn	True	60	198	72	True	False	False	False
Garter_stitch	True	2	2	2	True	True	False	True
GARTER_STITCH_&amp;_STOCKINETTE_ST_CHEVRON_PATTERNS	True	25	73	25	True	False	False	False
Garter_stitch_alternative_(seedy)	True	6	8	6	True	False	False	False
Garter_Stitch_Chevron	False	20	55	20	True	False	False	False
Garter_Stitch_Chevron_2	False	20	55	20	True	False	False	False
Garter_Stitch_Chevron_3	True	13	37	13	True	False	False	False
Garter_Stitch_Edging	True	22	46	21	True	False	False	False
GARTER_STITCH_HAT	True	15	15	15	True	False	False	False
Garter_Stitch_Lace_Edging_1	True	48	97	47	True	False	False	False
Garter_Stitch_Lace_Ladder	True	6	6	6	True	False	False	False
Garter_stitch_mitten_filler	True	60	242	43	True	False	False	False
Garter_stitch_mitten_scallop_(31_st)	True	40	149	38	True	False	False	False
Garter_stitch_mitten_scallop_(37_st)	True	50	214	46	True	False	False	False
Garter_stitch_scallop_shape	True	39	148	37	True	False	False	False
garter_stitch_star_rug_side_2	True	38	38	38	True	False	False	False
Garter_Triangles	True	22	553	22	True	False	False	False
Garter_Wide_Chevron	True	12	46	12	True	False	False	False
Gate_Pattern	True	40	40	40	True	False	False	False
gathered_braids	True	19	31	17	True	False	False	True
Gathered_Daisies	True	18	28	18	True	False	False	False
gathered_fronds	True	20	44	20	True	True	False	True
Gathered_Scarf	True	5	5	5	True	False	False	False
gathered_tendrils	True	11	19	11	True	True	False	True
Gathers	True	26	32	26	True	False	False	False
Gathers_2	True	4	4	4	True	True	False	True
Gathers_3	True	15	15	15	True	False	False	False
Gaugain_Beautiful_Lace_Edging	True	124	195	82	True	False	False	False
Gaugain_Edging	True	36	51	22	True	False	False	False
Gaugain_First_Doyley_Pattern	True	45	210	61	True	False	False	False
Gaugain_Novel_Square_Knit_Shaded_Cushion	True	1306	3344	1090	True	False	False	False
Gaugain_Second_Doyley_Pattern	True	54	301	73	True	False	False	False
Gaugain_Spider-Net_Pattern	True	36	51	36	True	False	False	False
Gaugain_Very_Beautiful_Tidy	True	128	191	118	True	False	False	False
Gaugain_Very_Pretty_Open_Stitch	True	68	68	68	True	False	False	False
Gauge_swatch_in_Stockinette_stitch	True	14	84	14	True	False	False	True
GBC_Top-down_Raglan	True	20	62	20	True	False	False	True
GCARKTP_crafty-cache-2	True	145	411	138	True	False	False	True
Gef	True	93	93	93	True	False	False	True
Geflochtener_Zopf_6_Maschen	True	17	36	17	True	False	False	False
Geflochtener_Zopf_9_Maschen	True	17	35	17	True	False	False	False
Gef_2	True	113	113	113	True	False	False	False
Geiri	True	37	37	31	True	True	False	False
Gelinstes_Muster	True	8	9	8	True	False	False	False
Gelocht	True	13	13	13	True	False	False	False
Gelochte_Streifen	True	25	35	25	True	False	False	False
Gelocht_(Sparversion)	True	5	31	5	True	False	False	False
Gen	True	218	297	204	True	False	False	False
General_Muzzle_Shape	True	47	319	46	True	False	False	False
genevieve&#x27;s_border_left	True	56	73	50	True	False	False	False
genevieve&#x27;s_border_right	True	56	73	50	True	False	False	False
genevieve_center	True	522	1353	392	True	False	False	False
Gentle_Curves	True	25	25	25	True	False	False	False
Gentle_sway_1	True	19	19	19	True	False	False	False
Gentle_sway_2	True	16	16	16	True	False	False	False
Gentle_sway_3	True	12	12	12	True	False	False	False
Gen_2	False	92	92	92	True	False	False	False
Gen_3	False	92	92	92	True	False	False	False
Geo	False	213	561	140	True	False	False	True
Geometric_Lace	True	206	234	206	True	False	False	False
geomorphology	True	11	18	11	True	False	False	False
Georgia	True	28	28	28	True	True	False	False
Georgia_2	True	50	60	50	True	False	False	False
Geo_2	False	213	561	140	True	False	False	True
Gerade_laufende_Linsentour	True	5	5	5	True	False	False	True
Gerautet	True	22	39	22	True	False	False	False
German_Herringbone	True	40	46	40	True	False	False	False
German_Insertion	True	315	507	272	True	False	False	False
German_Lace	True	283	622	235	True	False	False	False
German_Lace_2	True	225	513	213	True	False	False	False
Geschlaucht	True	69	220	69	True	False	False	False
Geschlaucht_(variable_Breite)	True	68	104	68	True	False	False	False
Geschwungener_Baum	True	69	109	69	True	False	False	False
Gestrickte_Spitze_Abb__440	True	81	173	63	True	False	False	False
Gezopfte_Hebemaschen	True	24	24	24	True	False	False	False
GG	True	3	27	3	True	True	False	True
Gh_cowl	True	27	42	27	True	False	False	False
Gibbon	True	155	295	152	True	False	False	False
Gigantea	True	31	536	31	True	False	False	True
ginger,_version_1	True	68	68	68	True	False	False	False
ginger,_version_2	True	275	370	266	True	False	False	False
Ginger_jar	True	94	110	94	True	False	False	False
Gingko_Leaf	True	72	72	72	True	False	False	False
Ginkgo	True	56	79	38	True	False	False	False
Ginkgo_(right_side)	True	57	83	39	True	False	False	False
Ginkgo_Leaf	True	41	41	41	True	False	False	False
Ginkgo_leaf_merges_into_fern	True	178	178	178	True	False	False	False
Ginko_Leaf	False	52	52	52	True	False	False	False
Ginko_Leaf_2	False	52	52	52	True	False	False	False
Gira_1	True	46	52	46	True	False	False	False
Gira_2	True	53	59	53	True	False	False	False
Girl&#x27;s_Party_Dress	True	13	14	13	True	False	False	False
Gittertour	True	20	20	20	True	False	False	True
glacier,_version_1	False	176	232	172	True	False	False	False
glacier,_version_2	False	176	232	172	True	False	False	False
Glacier	True	48	58	48	True	False	False	False
Glattpatent	True	9	9	9	True	False	False	True
Glattpatent_Variante	True	9	9	9	True	False	False	True
Gleipnir_scarf	True	239	263	239	True	False	False	False
Glendower_pattern	True	229	259	229	True	False	False	False
gloves	True	22	36	22	True	False	False	False
Glove_Overlay	True	87	155	70	True	False	False	False
Gloxi_Leaf	True	416	470	219	True	False	False	False
gml	True	111	363	117	True	False	False	False
Gnarled_Cables	True	22	28	22	True	False	False	False
Going_Camping	True	252	599	179	True	False	False	True
